sample ID	forward sequence count	reverse sequence count
YUN3428.2	4527	4527
BAQ4166.1.2	4176	4176
BAQ4166.3	4051	4051
YUN3533.3	4046	4046
BAQ4166.2	3977	3977
BAQ3473.3	3928	3928
YUN3856.3	3794	3794
YUN3533.2	3724	3724
BAQ3473.1	3568	3568
BAQ4697.3	3537	3537
YUN3428.3	3486	3486
YUN3259.3	3321	3321
BAQ4166.1.1	3292	3292
YUN3259.2	3256	3256
YUN3856.1.1	3229	3229
YUN3428.1	3224	3224
BAQ4166.1.3	3156	3156
BAQ3473.2	3060	3060
YUN3856.2	3048	3048
YUN3856.1.2	3029	3029
YUN3533.1.1	3016	3016
BAQ2462.1	2933	2933
YUN3533.1.2	2923	2923
YUN2029.2	2806	2806
YUN1005.1.1	2756	2756
BAQ4697.1	2706	2706
BAQ2687.3	2697	2697
BAQ2687.1	2648	2648
BAQ4697.2	2559	2559
YUN3533.1.3	2470	2470
YUN3346.3	2403	2403
YUN1609.1	2378	2378
YUN1242.3	2310	2310
BAQ2420.1.1	2289	2289
YUN3856.1.3	2260	2260
BAQ2687.2	2202	2202
YUN3259.1.2	2167	2167
BAQ2420.1.2	2158	2158
BAQ2420.3	2062	2062
BAQ2420.1.3	2057	2057
BAQ2420.2	2049	2049
YUN3346.1	2044	2044
BAQ2462.2	1968	1968
BAQ2838.1	1924	1924
YUN1242.1	1852	1852
YUN3153.3	1845	1845
BAQ2838.2	1702	1702
BAQ2462.3	1567	1567
YUN3153.2	1411	1411
YUN1005.3	1262	1262
BAQ2838.3	1239	1239
YUN3259.1.3	874	874
YUN3346.2	621	621
YUN3259.1.1	181	181
YUN1242.2	31	31
YUN2029.1	30	30
BAQ895.2	22	22
BAQ1552.1.1	20	20
BAQ1370.1.3	19	19
YUN3008.1.3	12	12
YUN1005.1.3	11	11
YUN3153.1	8	8
YUN3184.2	7	7
YUN3184.1	7	7
BAQ1370.1.2	6	6
YUN3008.3	6	6
YUN3008.1.1	5	5
YUN3008.1.2	5	5
YUN2029.3	4	4
YUN1005.2	4	4
YUN1609.3	4	4
BAQ1552.2	3	3
BAQ895.3	2	2
YUN3008.2	1	1
BAQ1370.3	0	0
